CBOW,0,10,0,10,100,1,1000000,549,18995
CBOW,0,10,0,10,100,6,1000000,1189,18355
CBOW,0,10,0,30,100,1,1000000,1233,18311
CBOW,0,10,0,30,100,6,1000000,2433,17111
CBOW,0,10,0,50,100,1,1000000,1959,17585
CBOW,0,10,0,50,100,6,1000000,2932,16612
CBOW,0,10,1,10,100,1,1000000,660,18884
CBOW,0,10,1,10,100,6,1000000,1259,18285
CBOW,0,10,1,30,100,1,1000000,1319,18225
CBOW,0,10,1,30,100,6,1000000,2212,17332
CBOW,0,10,1,50,100,1,1000000,1961,17583
CBOW,0,10,1,50,100,6,1000000,2903,16641
CBOW,0,15,0,10,100,1,1000000,665,18879
CBOW,0,15,0,10,100,6,1000000,1226,18318
CBOW,0,15,0,30,100,1,1000000,1553,17991
CBOW,0,15,0,30,100,6,1000000,2366,17178
CBOW,0,15,0,50,100,1,1000000,2193,17351
CBOW,0,15,0,50,100,6,1000000,2951,16593
CBOW,0,15,1,10,100,1,1000000,557,18987
CBOW,0,15,1,10,100,6,1000000,1301,18243
CBOW,0,15,1,30,100,1,1000000,1489,18055
CBOW,0,15,1,30,100,6,1000000,2312,17232
CBOW,0,15,1,50,100,1,1000000,2074,17470
CBOW,0,15,1,50,100,6,1000000,2865,16679
CBOW,0,20,0,10,100,1,1000000,627,18917
CBOW,0,20,0,10,100,6,1000000,1157,18387
CBOW,0,20,0,30,100,1,1000000,1437,18107
CBOW,0,20,0,30,100,6,1000000,2500,17044
CBOW,0,20,0,50,100,1,1000000,2195,17349
CBOW,0,20,0,50,100,6,1000000,2880,16664
CBOW,0,20,1,10,100,1,1000000,569,18975
CBOW,0,20,1,10,100,6,1000000,1352,18192
CBOW,0,20,1,30,100,1,1000000,1377,18167
CBOW,0,20,1,30,100,6,1000000,2515,17029
CBOW,0,20,1,50,100,1,1000000,2128,17416
CBOW,0,20,1,50,100,6,1000000,2995,16549
CBOW,0,5,0,10,100,1,1000000,479,19065
CBOW,0,5,0,10,100,1,3000000,613,18931
